entry,offset,encoding,score,string,neighbors_before,neighbors_after
paperweb/bin/Mvcb2b.pdb,1162384,ascii,10,Mvcb2b.admin.jquery.MakePhoto,Mvcb2b.admin.Useredit | 41E63F81 | Mvcb2b.admin.jquery.CorpDelpic | 623E8AC9,7B018535 | Mvcb2b.admin.controls.Date_Qi | 9F93003F | Mvcb2b.admin.controls.Upmappic
paperweb/bin/Mvcb2b.pdb,1217218,ascii,10,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\MakePhoto.aspx.cs,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\Classmanage.aspx.designer.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\Useredit.aspx.designer.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\Useredit.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\jquery\CorpDelpic.aspx.cs,E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\controls\Date_Qi.ascx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\admin\controls\Upmappic.ascx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\Jqueryfile\SessionEmpty.aspx.cs | E:\aspnet2.0\hao_elec_all_jia\mvc_elec_jia\Mvcb2b\editors\uploadinc\CorpUp.aspx.cs
paperweb/bin/Mvcb2b.dll,319616,ascii,8,pagepdf_page,Fromurl | Qiname | Pagename | isurl,pdfurl | pwidth | pheight | mwidth
paperweb/bin/Mvcb2b.dll,335104,ascii,8,set_Pagepic,Linkeachqi | eachqiname | Pagemap | set_Pagemap,get_Pagepdf | set_Pagepdf | get_Prelink | get_Nextlink
paperweb/bin/Mvcb2b.dll,335116,ascii,8,get_Pagepdf,eachqiname | Pagemap | set_Pagemap | set_Pagepic,set_Pagepdf | get_Prelink | get_Nextlink | set_Prelink
paperweb/bin/Mvcb2b.dll,335128,ascii,8,set_Pagepdf,Pagemap | set_Pagemap | set_Pagepic | get_Pagepdf,get_Prelink | get_Nextlink | set_Prelink | set_Nextlink
paperweb/bin/Mvcb2b.dll,354962,utf16le,8,pagepic,"select qiid,pageid,numberid,pagetitle,pagepic,pagepdf,zoompic,ismany,isurl,pdfurl,addtime from E_eachedition where id= | pageid | numberid | pagetitle",zoompic | pagepdf | ismany | many
paperweb/bin/Mvcb2b.dll,354994,utf16le,8,pagepdf,numberid | pagetitle | pagepic | zoompic,ismany | many | isurl | pdfurl
paperweb/bin/Mvcb2b.dll,355533,utf16le,8,pagepdf_txt2,:Nzz | ');this.location.href='Editionedit.aspx?id= | classcript | forpdf,"pdfurl_txt | select a.id,b.issuedate from e_eachedition as a left join  e_eachqi as  b on a.qiid=b.id where a.qiid= | <script>alert(' | ');window.location.href='"
paperweb/bin/Mvcb2b.dll,461123,utf16le,8,"select qiid,pageid,numberid,pagetitle,pagepic,pagemap,ismany from E_eachedition where id=","pagemap | <map id=""usemap""> | <map id=""usemap"" name=""usemap""> | !<br>","<img id=""editionimg"" src="" | "" border=""0"" alt="" | "" /> | id=""editionimg"" src=""(.*?)"""
paperweb/bin/Mvcb2b.pdb,365880,ascii,8,pagepic,pageid | pagetitle | sql2 | numberid,pagepic1 | pagepdf | ismany | litpic
paperweb/bin/Mvcb2b.pdb,365908,ascii,8,pagepic1,pagetitle | sql2 | numberid | pagepic,pagepdf | ismany | litpic | zoompic
paperweb/bin/Mvcb2b.pdb,365940,ascii,8,pagepdf,sql2 | numberid | pagepic | pagepic1,ismany | litpic | zoompic | pagemap
paperweb/bin/Mvcb2b.pdb,386904,ascii,8,pagepic,depth | pageid | numberid | pagetitle,ismany | pagepdf | pagepdf2 | isurl
paperweb/bin/Mvcb2b.pdb,386960,ascii,8,pagepdf,numberid | pagetitle | pagepic | ismany,pagepdf2 | isurl | pdfurl | pagepath
paperweb/bin/Mvcb2b.pdb,386988,ascii,8,pagepdf2,pagetitle | pagepic | ismany | pagepdf,isurl | pdfurl | pagepath | flag
paperweb/bin/Mvcb2b.pdb,593808,ascii,8,pagepdf,numberid | pagetitle | pagepic | ismany,pagepdf2 | isurl | pdfurl | forpdf
paperweb/bin/Mvcb2b.pdb,593836,ascii,8,pagepdf2,pagetitle | pagepic | ismany | pagepdf,isurl | pdfurl | forpdf | litpic
paperweb/bin/Mvcb2b.pdb,798440,ascii,8,pagepic,Showdata | CS$0$0000 | qiid | pageid,pagemap | ispagepic | pagetitle | ismany
paperweb/bin/Mvcb2b.pdb,798496,ascii,8,ispagepic,qiid | pageid | pagepic | pagemap,pagetitle | ismany | Areareg3 | Edit_Click
paperweb/bin/Mvcb2b.pdb,805468,ascii,8,pagepic,depth | pageid | numberid | pagetitle,pagepdf | pagepdf2 | isurl | pdfurl
paperweb/bin/Mvcb2b.pdb,805496,ascii,8,pagepdf,pageid | numberid | pagetitle | pagepic,pagepdf2 | isurl | pdfurl | forpdf
paperweb/bin/Mvcb2b.pdb,805524,ascii,8,pagepdf2,numberid | pagetitle | pagepic | pagepdf,isurl | pdfurl | forpdf | ismany
paperweb/bin/Mvcb2b.pdb,922436,ascii,8,pagepic2,pagetitle | preqihref | nextqihref | eachqinname,editions | ishome | top1 | foot1
paperweb/bin/Mvcb2b.pdb,951564,ascii,8,pagepic2,preqihref | nextqihref | eachqin | nowpagelink,prehref | nexthref | skin | ishome
paperweb/bin/Mvcb2b.pdb,952784,ascii,8,pagepic2,pagetitle2 | preqihref | nextqihref | eachqin,prehref | nexthref | skin | ishome
paperweb/bin/Mvcb2b.pdb,954564,ascii,8,pagepic2,numberstr | edtemp | nowpagelink | eachqinname,infoid | prehref | nexthref | feejs
paperweb/bin/Mvcb2b.pdb,1041604,ascii,8,pagepic2,issuedate | edition | preqihref | nextqihref,prehref | nexthref | linkbll | links
paperweb/bin/Mvcb2b.pdb,1061500,ascii,8,pagepic2,pagetitle2 | preqihref | nextqihref | eachqin,prehref | nexthref | threeids | three_editions
paperweb/bin/Mvcb2b.pdb,1063168,ascii,8,pagepic2,numberstr | edtemp | nowpagelink | eachqin,prehref | nexthref | prenews | nextnews
paperweb/bin/Mvcb2b.pdb,1064272,ascii,8,pagepic2,edition | preqihref | nextqihref | eachqinname,editions | ishome | top1 | foot1
paperweb/bin/Mvcbll.dll,329853,ascii,8,set_Pagepic,Textout | get_E_pingLists | set_Pageid | set_Pagetitle,set_Pagepdf | set_Pagelink | set_Ismany | System.Text.RegularExpressions
