timestamp,original,archive_url,mimetype,resource_kind,path_year_month,candidate_score,digest,status
20150113035004,http://qlsn.com/upload/newsImg/2014-06/d20b8c04-462e-4c0f-bc28-bcaa50b07602.JPG,https://web.archive.org/web/20150113035004id_/http://qlsn.com/upload/newsImg/2014-06/d20b8c04-462e-4c0f-bc28-bcaa50b07602.JPG,image/jpeg,newsImg,2014-06,85,SDUW2S5QCQ4TNXWOQBOKOTSFAL6BEGO4,candidate_requires_visual_verification
20150113022530,http://qlsn.com/upload/newsImg/2014-06/f2b1f68e-e6df-437e-8fdd-5b1246cd6bd6.jpg,https://web.archive.org/web/20150113022530id_/http://qlsn.com/upload/newsImg/2014-06/f2b1f68e-e6df-437e-8fdd-5b1246cd6bd6.jpg,image/jpeg,newsImg,2014-06,85,C45ALTNMW4IFGENLWSUEYSIN5BHSQPAM,candidate_requires_visual_verification
20150113022854,http://qlsn.com/upload/newsImg/2014-07/1815d6a0-7890-4d12-b28e-4e3194e7f0b3.JPG,https://web.archive.org/web/20150113022854id_/http://qlsn.com/upload/newsImg/2014-07/1815d6a0-7890-4d12-b28e-4e3194e7f0b3.JPG,image/jpeg,newsImg,2014-07,85,FS4RYG6VSKEHODYM3R353ZT2B7B6UB2U,candidate_requires_visual_verification
20150113004759,http://qlsn.com/upload/newsImg/2014-09/34e3109e-3d01-46bf-a28d-86df344e108e.jpg,https://web.archive.org/web/20150113004759id_/http://qlsn.com/upload/newsImg/2014-09/34e3109e-3d01-46bf-a28d-86df344e108e.jpg,image/jpeg,newsImg,2014-09,85,UTMP5MPYLIB7DRFYJSC64ZWQZ64O2XP5,candidate_requires_visual_verification
20150113051138,http://qlsn.com/upload/newsImg/2014-09/36fe1879-364f-446e-a18b-39cbdee27c0a.jpg,https://web.archive.org/web/20150113051138id_/http://qlsn.com/upload/newsImg/2014-09/36fe1879-364f-446e-a18b-39cbdee27c0a.jpg,image/jpeg,newsImg,2014-09,85,KHBRYZ6Q57DRP276M3DZXNRW6AES63G4,candidate_requires_visual_verification
20150113015055,http://qlsn.com/upload/newsImg/2014-09/41846f0a-4c34-4e8b-a2c9-e83a155384c0.JPG,https://web.archive.org/web/20150113015055id_/http://qlsn.com/upload/newsImg/2014-09/41846f0a-4c34-4e8b-a2c9-e83a155384c0.JPG,image/jpeg,newsImg,2014-09,85,LDG4T355SPPO4U2ZDC4OK2I6HBYSCHNU,candidate_requires_visual_verification
20150113024403,http://qlsn.com/upload/newsImg/2014-09/6cb9c42d-33be-47b1-b9ca-9d05c65161c2.jpg,https://web.archive.org/web/20150113024403id_/http://qlsn.com/upload/newsImg/2014-09/6cb9c42d-33be-47b1-b9ca-9d05c65161c2.jpg,image/jpeg,newsImg,2014-09,85,SQL4SFQVQUWUUJCFUTG2XAODBQRMUZKZ,candidate_requires_visual_verification
20150113064443,http://qlsn.com/upload/newsImg/2014-09/8d798222-1ef4-48ab-b6a9-2fa884574171.JPG,https://web.archive.org/web/20150113064443id_/http://qlsn.com/upload/newsImg/2014-09/8d798222-1ef4-48ab-b6a9-2fa884574171.JPG,image/jpeg,newsImg,2014-09,85,IXILSMVZSAFXSTTOM754XWHDZWULZH6A,candidate_requires_visual_verification
20150113002756,http://qlsn.com/upload/newsImg/2014-09/fdd0786c-82c0-4399-9d31-25fcfb2bc8cc.JPG,https://web.archive.org/web/20150113002756id_/http://qlsn.com/upload/newsImg/2014-09/fdd0786c-82c0-4399-9d31-25fcfb2bc8cc.JPG,image/jpeg,newsImg,2014-09,85,E2JFP75W5OKA6HDSCETFXFSL5WJHGTIZ,candidate_requires_visual_verification
20150113034552,http://qlsn.com/upload/newsImg/2014-11/1eb37ad7-74dd-4468-a86d-0d929e243f25.JPG,https://web.archive.org/web/20150113034552id_/http://qlsn.com/upload/newsImg/2014-11/1eb37ad7-74dd-4468-a86d-0d929e243f25.JPG,image/jpeg,newsImg,2014-11,85,DUOA3NMGJ445Y5F3IU54VBIQWBPUHQR7,candidate_requires_visual_verification
20160224193609,http://qlsn.com/upload/newsImg/2014-11/722e1d31-f940-4106-bdb2-f547c60ccaa5.jpg,https://web.archive.org/web/20160224193609id_/http://qlsn.com/upload/newsImg/2014-11/722e1d31-f940-4106-bdb2-f547c60ccaa5.jpg,image/jpeg,newsImg,2014-11,85,VJPBDWFQZMP2CQ6YFU2FDKBK7BFNE4YB,candidate_requires_visual_verification
20160225015228,http://qlsn.com/upload/newsImg/2015-02/e03e032f-0445-42ec-ae72-1dc9188b99ed.jpg,https://web.archive.org/web/20160225015228id_/http://qlsn.com/upload/newsImg/2015-02/e03e032f-0445-42ec-ae72-1dc9188b99ed.jpg,image/jpeg,newsImg,2015-02,85,34P7NCVLL45PHWIPTDNKCK7XNQUA2ZKW,candidate_requires_visual_verification
20160224141337,http://qlsn.com/upload/newsImg/2015-08/2a0950b3-550f-4d79-b9b4-6efd67ecbcbf.jpg,https://web.archive.org/web/20160224141337id_/http://qlsn.com/upload/newsImg/2015-08/2a0950b3-550f-4d79-b9b4-6efd67ecbcbf.jpg,image/jpeg,newsImg,2015-08,85,TRNRVX5M7DVUXUVEW35ZVIEAO6JUFMM5,candidate_requires_visual_verification
20160224194157,http://qlsn.com/upload/newsImg/2015-12/2b64e9de-6320-4c27-bb0f-8c40790eb382.jpg,https://web.archive.org/web/20160224194157id_/http://qlsn.com/upload/newsImg/2015-12/2b64e9de-6320-4c27-bb0f-8c40790eb382.jpg,image/jpeg,newsImg,2015-12,85,57I5ZIG6PBDPRZGSTRLV5C75I7SG7SIO,candidate_requires_visual_verification
20160224140545,http://qlsn.com/upload/newsImg/2015-12/48d314b0-196b-4409-9991-9077bbb5b212.png,https://web.archive.org/web/20160224140545id_/http://qlsn.com/upload/newsImg/2015-12/48d314b0-196b-4409-9991-9077bbb5b212.png,image/png,newsImg,2015-12,85,ICVETNZ4JWNQU4QGJE2ZIYG7UZ2BD57W,candidate_requires_visual_verification
20160224125146,http://qlsn.com/upload/newsImg/2015-12/6e1ed2d4-f807-444a-b5ec-ba1a8d6f7b77.jpg,https://web.archive.org/web/20160224125146id_/http://qlsn.com/upload/newsImg/2015-12/6e1ed2d4-f807-444a-b5ec-ba1a8d6f7b77.jpg,image/jpeg,newsImg,2015-12,85,WEKHABTPCYZCHCKAH6SGLFDGW4AFVIJP,candidate_requires_visual_verification
20160225034238,http://qlsn.com/upload/newsImg/2015-12/cedc6e85-32d5-4a30-90fa-c5f6c4e07b36.jpg,https://web.archive.org/web/20160225034238id_/http://qlsn.com/upload/newsImg/2015-12/cedc6e85-32d5-4a30-90fa-c5f6c4e07b36.jpg,image/jpeg,newsImg,2015-12,85,BZMEZ3I2ZEMWXOMCWKS3QUGYSTWQ6XDE,candidate_requires_visual_verification
20160224140354,http://qlsn.com/upload/newsImg/2015-12/e8715896-99cc-4633-bcf3-06436d826abb.png,https://web.archive.org/web/20160224140354id_/http://qlsn.com/upload/newsImg/2015-12/e8715896-99cc-4633-bcf3-06436d826abb.png,image/png,newsImg,2015-12,85,HRLGIWOBPZNJOKUAXMAE7XPJBDBXCX36,candidate_requires_visual_verification
20170829013310,http://www.qlsn.com/sys_upload/newsImg/2014-03/7d320289-8ece-48d1-91a0-76a912faad05.jpg,https://web.archive.org/web/20170829013310id_/http://www.qlsn.com/sys_upload/newsImg/2014-03/7d320289-8ece-48d1-91a0-76a912faad05.jpg,image/jpeg,newsImg,2014-03,85,R33VFUTBKWANHSR5QTXBYDHLATEZN2GY,candidate_requires_visual_verification
20160220094023,http://www.qlsn.com/sys_upload/newsImg/2015-01/55eb4273-5e9e-4477-91c9-c6104c500cc3.jpg,https://web.archive.org/web/20160220094023id_/http://www.qlsn.com/sys_upload/newsImg/2015-01/55eb4273-5e9e-4477-91c9-c6104c500cc3.jpg,image/jpeg,newsImg,2015-01,85,F3A2N3RJFYYPRRXSUGUYYNM46G5MO7DH,candidate_requires_visual_verification
20171226182035,http://www.qlsn.com/sys_upload/newsImg/2015-01/71ceadb9-ab1e-4eb1-b69b-51e74fb804d4.jpg,https://web.archive.org/web/20171226182035id_/http://www.qlsn.com/sys_upload/newsImg/2015-01/71ceadb9-ab1e-4eb1-b69b-51e74fb804d4.jpg,image/jpeg,newsImg,2015-01,85,DCIJ3YCTUWWDMZCFJDTPUXCV5OHDEENZ,candidate_requires_visual_verification
