parent,download_id,anchor_text,source_kind,onclick,original_url,archive_recovered,resolved_archive_url,content_type,bytes,payload_kind,magic,redirect_hints,attempts,error
list,,快乐下载,anchor,,http://www.qlsn.com/downloads_list.asp,yes,https://web.archive.org/web/20070623224444id_/http://www.qlsn.com/downloads_list.asp,text/html,18565,html,3c68746d6c3e0d0a3c686561643e0d0a,,20070623224226:ok,
list,,常用软件,anchor,,http://www.qlsn.com/downloads_list.asp?show=49,no,,,0,,,,20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_list.asp?show=49|20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_list.asp?show=49|20071225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20071225id_/http://www.qlsn.com/downloads_list.asp?show=49|20091225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20091225id_/http://www.qlsn.com/downloads_list.asp?show=49|20110918:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20110918id_/http://www.qlsn.com/downloads_list.asp?show=49,no_valid_archived_payload
list,,好玩游戏,anchor,,http://www.qlsn.com/downloads_list.asp?show=50,yes,https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_list.asp?show=50,text/html,15489,html,3c68746d6c3e0d0a3c686561643e0d0a,,20070623224226:ok,
known125,,下载地址1,anchor,,http://www.qlsn.com/downloads.asp?id=125&num=2,no,,,0,,,,20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads.asp?id=125&num=2|20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads.asp?id=125&num=2|20071225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20071225id_/http://www.qlsn.com/downloads.asp?id=125&num=2|20091225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20091225id_/http://www.qlsn.com/downloads.asp?id=125&num=2|20110918:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20110918id_/http://www.qlsn.com/downloads.asp?id=125&num=2,no_valid_archived_payload
known125,,评论,anchor,,http://www.qlsn.com/comment.asp?flag=downloads&id=125,no,,,0,,,,20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/comment.asp?flag=downloads&id=125|20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/comment.asp?flag=downloads&id=125|20071225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20071225id_/http://www.qlsn.com/comment.asp?flag=downloads&id=125|20091225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20091225id_/http://www.qlsn.com/comment.asp?flag=downloads&id=125|20110918:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20110918id_/http://www.qlsn.com/comment.asp?flag=downloads&id=125,no_valid_archived_payload
known125,,打印,anchor,,http://www.qlsn.com/print.asp?flag=downloads&id=125,no,,,0,,,,20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/print.asp?flag=downloads&id=125|20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/print.asp?flag=downloads&id=125|20071225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20071225id_/http://www.qlsn.com/print.asp?flag=downloads&id=125|20091225:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20091225id_/http://www.qlsn.com/print.asp?flag=downloads&id=125|20110918:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20110918id_/http://www.qlsn.com/print.asp?flag=downloads&id=125,no_valid_archived_payload
