anchor_date,snapshot_timestamp,archive_url,availability_error
20210115,,,
20210415,,,
20210715,,,
20211015,,,
20220115,,,
20220415,,,
20220715,,,
20221015,,,
20230115,,,
20230415,,,
20230715,,,
20231015,,,
20240115,,,
20240415,,,
20240715,,,
20241015,,,
20250115,,,
20250415,,,
20250715,,,
20251015,,,
20260115,,,
20260415,,,
20260715,,,
20261015,,,
