candidate_score,status,host,timestamp,mimetype,original,archive_url,reasons,digest
95,source_known_content_verification_required,www.dzwww.com,20021231185211,text/html,http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031011.htm,https://web.archive.org/web/20021231185211id_/http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031011.htm,known_source|electronic_resource_hint|date_in_url|html_page,FNYTUOTJR4XEYSQE52FN7UNQOBHQSOQS
95,source_known_content_verification_required,www.dzwww.com,20011231030124,text/html,http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031013.htm,https://web.archive.org/web/20011231030124id_/http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031013.htm,known_source|electronic_resource_hint|date_in_url|html_page,GPXCKQW2XNO25KU3VFA6S7LAUBPSOPPI
95,source_known_content_verification_required,www.dzwww.com,20020810170709,text/html,http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031016.htm,https://web.archive.org/web/20020810170709id_/http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031016.htm,known_source|electronic_resource_hint|date_in_url|html_page,WYUX6EICJNDY5WQGD3TLUUSXQC7NOCLS
95,source_known_content_verification_required,www.dzwww.com,20021231192035,text/html,http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031018.htm,https://web.archive.org/web/20021231192035id_/http://www.dzwww.com/qilushaonian/qilushaonianyiban/200108031018.htm,known_source|electronic_resource_hint|date_in_url|html_page,4F6O43MU7MELGSOT6SWJYCDQCUSZKE2R
90,source_known_content_verification_required,202.102.188.131,20010904040746,image/gif,http://202.102.188.131/qilushaonian/images/qilushaonian.gif,https://web.archive.org/web/20010904040746id_/http://202.102.188.131/qilushaonian/images/qilushaonian.gif,known_source|electronic_resource_hint|image_resource,CBUHW2ZRJBI7ELB3B75TSXS6AAAFLJOD
90,source_known_content_verification_required,www.dzwww.com,20041205112544,image/gif,http://www.dzwww.com/qilushaonian/images/qilushaonian.gif,https://web.archive.org/web/20041205112544id_/http://www.dzwww.com/qilushaonian/images/qilushaonian.gif,known_source|electronic_resource_hint|image_resource,CBUHW2ZRJBI7ELB3B75TSXS6AAAFLJOD
80,source_known_content_verification_required,202.102.188.131,20010823191635,text/html,http://202.102.188.131/qilushaonian/,https://web.archive.org/web/20010823191635id_/http://202.102.188.131/qilushaonian/,known_source|electronic_resource_hint|html_page,EPE3S6AZ4OOE6DD27FU5POMCQY532M3V
80,source_known_content_verification_required,202.102.188.131,20011226010619,text/html,http://202.102.188.131/qilushaonian/default.htm,https://web.archive.org/web/20011226010619id_/http://202.102.188.131/qilushaonian/default.htm,known_source|electronic_resource_hint|html_page,HVPBW3GX7Q3EKS4DQ6327LGBFIPWZPZK
80,source_known_content_verification_required,202.102.188.131,20020327134738,text/html,http://202.102.188.131/qilushaonian/qilushaonianerban/default.htm,https://web.archive.org/web/20020327134738id_/http://202.102.188.131/qilushaonian/qilushaonianerban/default.htm,known_source|electronic_resource_hint|html_page,XAGSV7O3WERDCM77APBPWZBC55HB2RZR
80,source_known_content_verification_required,202.102.188.131,20011226002549,text/html,http://202.102.188.131/qilushaonian/qilushaoniansanban/default.htm,https://web.archive.org/web/20011226002549id_/http://202.102.188.131/qilushaonian/qilushaoniansanban/default.htm,known_source|electronic_resource_hint|html_page,F2DFNSNULSQ766H5COWLBTAUVULCSW5X
