original,archive_url,width,height,sha256,historical_identity,ocr_keyword_hits,issue_matches,page_matches,ocr_excerpt,classification,ocr_error
http://qlsn.com/upload/newsImg/2014-06/60cf3a14-430a-4757-83a1-e51ddd47d7f0.jpg,https://web.archive.org/web/20150113052956id_/http://qlsn.com/upload/newsImg/2014-06/60cf3a14-430a-4757-83a1-e51ddd47d7f0.jpg,1872,3328,53f242e8ed44399a23b92c1cea40e80038599bfb6eb1fe822b74f1e2c25f8ec1,requires_context_verification,,,,,unverified,URLError: <urlopen error timed out>
http://qlsn.com/upload/newsImg/2014-06/d20b8c04-462e-4c0f-bc28-bcaa50b07602.JPG,https://web.archive.org/web/20150113035004id_/http://qlsn.com/upload/newsImg/2014-06/d20b8c04-462e-4c0f-bc28-bcaa50b07602.JPG,1168,1752,160838af4e03346f3cfc97af5ba3da35492667ec81f610f5cc2aa28009704f98,requires_context_verification,,,,,unverified,URLError: <urlopen error timed out>
