parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,kind,media_original,archived_media_url,archived_media_digest
http://www.qlsn.com/bbs/bokeindex.asp?show_topic.4.20.html,https://web.archive.org/web/20061223051622id_/http://www.qlsn.com/bbs/bokeindex.asp?show_topic.4.20.html,,,img,http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,https://web.archive.org/web/20061215123518id_/http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,USMBPCW7CEO6X5QEELBBDAS2UTXBUQIH
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/0090m.jpg,https://web.archive.org/web/20041016082242id_/http://www.qlsn.com/images/0090m.jpg,CVWVWKGYGXPCUXYNSOKDMBIHKVCO4HD4
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/2001-2-39.gif,https://web.archive.org/web/20041016085608id_/http://www.qlsn.com/images/2001-2-39.gif,GK4FNPY4JQPKB7UQ7EY7JYPFVDZHCAMR
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/arrow01.gif,https://web.archive.org/web/20041016090407id_/http://www.qlsn.com/images/arrow01.gif,CJWN62MGHSL3IUY4OVJJFIFP7MHLKXYB
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/arrow02.gif,https://web.archive.org/web/20041016100308id_/http://www.qlsn.com/images/arrow02.gif,RTMDXBZ2M26ZGYFXUSRR5IAK3CHR5DNP
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/goeway.jpg,https://web.archive.org/web/20050320074404id_/http://www.qlsn.com/images/goeway.jpg,GDLKV7WAWSJGXYCHSNG7BCZZKZPDJ3CX
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/htmlcn_01.GIF,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/ludong.jpg,https://web.archive.org/web/20041016202124id_/http://www.qlsn.com/images/ludong.jpg,7ZR5NZV54JPPHTCGGNSNUH6N64V3FFBN
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/more01.gif,https://web.archive.org/web/20041016205527id_/http://www.qlsn.com/images/more01.gif,GVXIUXSOHDHORH5NTTWTCE375JSE6QTX
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/more3.gif,https://web.archive.org/web/20041016211903id_/http://www.qlsn.com/images/more3.gif,GPVB76V3KZBLPT3KYSCFNWK65OIAET2O
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/niux-home.gif,https://web.archive.org/web/20041016220537id_/http://www.qlsn.com/images/niux-home.gif,PLNCQVZZ4DVXBOGYBKYMF7MPWPKTDLOM
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/niux-mail.gif,https://web.archive.org/web/20041016222440id_/http://www.qlsn.com/images/niux-mail.gif,XGGJ7QAVCME3R2AHV56MLTMPR5RVPZP4
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/pbc.jpg,https://web.archive.org/web/20041015195745id_/http://www.qlsn.com/images/pbc.jpg,H75JO5DJR2DV6BNQMCG4LERORZRZVWX5
