requested_date,root_url,snapshot_timestamp,snapshot_url,title,identity,qilu_shaonian_hits,youth_center_hits,seo_or_unrelated_hits,identity_excerpt,error
20080215,http://www.qlsn.com/,20071103154018,http://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,4,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20081115,http://www.qlsn.com/,20090830081307,http://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,4,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20091115,http://www.qlsn.com/,20091225202932,http://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,3,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20101115,http://www.qlsn.com/,20110426183705,http://web.archive.org/web/20110426183705id_/http://www.qlsn.com/,,unclear,0,0,0,,
20110815,http://www.qlsn.com/,20110918115336,http://web.archive.org/web/20110918115336id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,5,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20120215,http://www.qlsn.com/,20120326141934,http://web.archive.org/web/20120626100129id_/http://www.qlsn.com/,齐鲁少年 - 首页,qilu_shaonian,5,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20120515,http://www.qlsn.com/,20120626100129,http://web.archive.org/web/20120626100129id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,5,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
20120815,http://www.qlsn.com/,20120909233944,http://web.archive.org/web/20120909233944id_/http://www.qlsn.com:80/,齐鲁少年 - 首页,qilu_shaonian,5,0,6,齐鲁少年 - 首页 <!-- body{ margin:0px; font-family:Verdana; CURSOR: url('HAND.CUR'); font-size: 9pt; line-height: 20px; color: #333333; background-image: url(Skins/Defaul || DING-LEFT: 25px; COLOR: black; TEXT-DECORATION: none; behavior:url(inc/noline.htc); } #mouseoverstyle { BACKGROUND-COLOR: #FFFFFF; margin:2px; padding:0px; border:#CCCCCC 1px solid; } #mouseoverstyle A { COLOR: black } .menuitems{ margin:2px;padding:1px || >常用软件</a></div>' linkset[1][1]='<div class=menuitems><a href=downloads_list.asp?show=50>好玩游戏</a></div>' linkset[2]=new Array() linkset[2][0]='<div class=menuitems><a href=?skin=0>恢复默认设置</a></div>' linkset[2][1]='<div class=menuitems><a href=?skin=1>├ <,
