endpoint_url,probe_url,status,source,resolved_url,content_type,bytes,sha256,fields,assets,editions,excerpt,error
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?editionid=330,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?editionid=330: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?editionid=330: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?editionid=330: URLError: <urlopen error [Errno -3] Temporary failure in name resolution>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?id=330,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?id=330: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?id=330: URLError: <urlopen error [Errno -3] Temporary failure in name resolution> | https://szb.cnssiot.cn/jquery/readtitle?id=330: URLError: <urlopen error [Errno -3] Temporary failure in name resolution>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?editionid=331,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?editionid=331: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?editionid=331: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?editionid=331: URLError: <urlopen error [Errno -2] Name or service not known>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?id=331,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?id=331: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?id=331: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?id=331: URLError: <urlopen error [Errno -3] Temporary failure in name resolution>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?editionid=332,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?editionid=332: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?editionid=332: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?editionid=332: URLError: <urlopen error [Errno -2] Name or service not known>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?id=332,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?id=332: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?id=332: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?id=332: URLError: <urlopen error [Errno -2] Name or service not known>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?date=2021-12-25,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?date=2021-12-25: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?date=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?date=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?d=2021-12-25,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?d=2021-12-25: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?d=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?d=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?day=2021-12-25,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?day=2021-12-25: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?day=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/jquery/readtitle?day=2021-12-25: URLError: <urlopen error [Errno -3] Temporary failure in name resolution>
http://szb.cnssiot.cn/jquery/readtitle,http://szb.cnssiot.cn/jquery/readtitle?qi=2021-12-25,unverified,,,,,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/jquery/readtitle?qi=2021-12-25: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/jquery/readtitle?qi=2021-12-25: URLError: <urlopen error [Errno -3] Temporary failure in name resolution> | https://szb.cnssiot.cn/jquery/readtitle?qi=2021-12-25: URLError: <urlopen error [Errno -2] Name or service not known>
