page,edition_id,source_page,discovery,candidate_url,status,resolved_url,content_type,length,sha256,archive_timestamp,error
A1,326,root_snapshot,verified_root_media_reference,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,unverified,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known>
A1,326,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,inferred_sibling_from_mobile_pagepic,http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,unverified,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known>
A1,326,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,inferred_sibling_from_mobile_pagepic,http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.pdf,unverified,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.pdf: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.pdf: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/Img/2021/12/202112245170816f8aaf438f9a1a9119831a2eab.pdf: URLError: <urlopen error [Errno -2] Name or service not known>
A1,326,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,inferred_sibling_from_mobile_pagepic,http://szb.cnssiot.cn/Img/2021/12/big202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,unverified,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Img/2021/12/big202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/Img/2021/12/big202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/Img/2021/12/big202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326: URLError: <urlopen error [Errno -2] Name or service not known>
A1,326,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.jpg?editionid=326,inferred_sibling_from_mobile_pagepic,http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.pdf,unverified,,,,,,https://web.archive.org/web/20220928010853id_/http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.pdf: HTTPError: HTTP Error 404: NOT FOUND | http://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.pdf: URLError: <urlopen error [Errno -2] Name or service not known> | https://szb.cnssiot.cn/Img/2021/12/mobile202112245170816f8aaf438f9a1a9119831a2eab.pdf: URLError: <urlopen error [Errno -2] Name or service not known>
