rank,post_url,post_date,post_title,issue_hints,media_url,sha256,width,height,full_chars,header_chars,evidence_hits,issue_matches,date_matches,ocr_excerpt,classification,error
1,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,2012-01-10,今天我评报_齐鲁少年编辑部的故事_新浪博客,,http://s12.sinaimg.cn/large/4c4fc7d9hb626902713eb&690,92592bb66b826a7d65856b6d713334d7f648a43aa3d4e9e27cbdf7c2dc32631f,1944,2592,85,98,official_qq|official_site|sponsor,,2012年1月3日,a pee Ly % — = ) + ‘ a MAGE ved Ce 4 bs http:/Awww.qisn.com QQ; 857087447 ag 3 各 wrevrsem “人 以 5 “4 0148 i 7 310007 = 2012年1月3日出版 到 PIA 4s co20 Seq = ittp://www.qisn.com QQ; 857087447 SX 山蒜省少工要主办 站 Vv Vv v = 20124713 H 假名io >>». eo re 6.,newspaper_page_candidate,
2,https://blog.sina.com.cn/s/blog_4c4fc7d901015apq.html,2012-06-25,2012年暑假合刊有礼评报_齐鲁少年编辑部的故事_新浪博客,,http://s2.sinaimg.cn/large/4c4fc7d9hc346f2650591&690,a9085a18a4c9af0ef346776758676dba27081d93aa18aa3331c24bf626710978,1002,731,64,0,,,," 了| CT % wrectesn F yg QOS加 co 1247 0M wee SS (@, 心太 NA) Cs ») ey > 0) 从 KK IE AP La wo 0 ’ |",low_evidence_image,
3,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,2012-01-10,今天我评报_齐鲁少年编辑部的故事_新浪博客,,http://s12.sinaimg.cn/middle/4c4fc7d9hb626902713eb&690,c1d5eb2d58495854b92cdad5f65628ed90fe4a2e187305497721a44978c6f6fd,518,690,20,53,,,,"(FS) we 身 a 全 Bur 一 HA th ome = . S usaoresn x Vv gee"" or v ERoos: 2012 1S 全 Cie a ae 0148 lam ve I ot =",low_evidence_image,
4,https://blog.sina.com.cn/s/blog_4c4fc7d901015apq.html,2012-06-25,2012年暑假合刊有礼评报_齐鲁少年编辑部的故事_新浪博客,,http://s2.sinaimg.cn/middle/4c4fc7d9hc346f2650591&690,398cdb7e76ae727ed082e4c80bb185344b543b87702539b38bec9c32963140db,690,503,30,11,,,,"四 SE asa: | ae a ‘Rags. ee 2 on只 tas ne io LB @ a, | ey, «6",low_evidence_image,
5,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,2012-01-10,今天我评报_齐鲁少年编辑部的故事_新浪博客,,http://s12.sinaimg.cn/bmiddle/4c4fc7d9hb626902713eb&690,08799bf2026d1c3f252f1ef39b5320adfc03a20ec2c9965a6f9a07cf27c54f01,440,587,19,9,,,,"EE ——"" <i So (时 区7 eee014 ry _ ve Bc fa",low_evidence_image,
6,https://blog.sina.com.cn/s/blog_4c4fc7d901015apq.html,2012-06-25,2012年暑假合刊有礼评报_齐鲁少年编辑部的故事_新浪博客,,http://s2.sinaimg.cn/bmiddle/4c4fc7d9hc346f2650591&690,00993c38fa4efd71f635969bccb35090bc0c3e8409354c9ca022788f2b2fc345,440,321,9,8,,,,:ms | F | “a Beeps) ene,low_evidence_image,
